Reference,Prediction
tʰi˩˥|le˧qæ˧˥|mv̩˩mɤ˩tʰɑ˥dʑo˩|tʰi˩˥|hĩ˧ɳɯ˩|le˧wo˧˥|ə˧mv̩˧ki˥|,t[UNK]i˩˥ le˧qæ˧˥ mv[UNK]˩ mɤ˧t[UNK]ɑ˥ dʑo˩ t[UNK]i˩˥ hi[UNK]˧ɳɯ˩ le˧wo˧ ə˧mv[UNK]˧ki˥
hæ˧ni˩|tʰi˧ʑi˧mɤ˥kv̩˩mæ˩|tʰi˧dzi˩kʰɯ˩|,hæ˧ni˩ t[UNK]i˧ʑi˧mɤ˥kv[UNK]˩mæ˩ t[UNK]i˧dzi˩k[UNK]ɯ˩
njo˩kæ˧tɕi˩ɲi˥|pi˧hĩ˧|ʈʰææ̃˧|kʰɯ˧tsʰɤ˧po˥ɳɯ˩|tsɑ˧di˧ɲi˥ɖwæ˧˥|tʰi˧di˩kv̩˩|,ɲiɤ˩kæ˧˥ tɕɤ˧ɲi˥pi˩hi[UNK]˩ ʈʂ[UNK]ææ[UNK]˧ k[UNK]ɯ˧tsɤ˧po˥ɳɯ˩ tsɑ˧di˧ɲi˥ ɖwæ˧˥ t[UNK]i˧di˩kv[UNK]˩
njæ˧sɯ˩kv̩˩dʑo˩|ə˧v̩˧ɲi˥ze˩mæ˩|tʰi˩˥|kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩|kɤ˧zo˧tsʰɯ˩ɻ̍˩|pi˧zo˩|kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩|,njæ˧sɯ˩kv[UNK]˩dʑo˩ ə˧v[UNK]˧ɲi˥ze˩mæ˩ t[UNK]i˩˥ kɤ˧zo˧mv[UNK]˥ʈʂæ˩kv[UNK]˩mæ˩ kɤ˧zo˧ts[UNK]ɯ˩ pi˧zo˩ kɤ˧zo˧mv[UNK]˥ʈʂæ˩kv[UNK]˩mæ˩
kʰi˧|tʰi˧dzɤ˩|mv̩˩˥|dʑo˩|tʰi˩˥|le˧ɖwæ˩zo˩|zəəə…no˧,k[UNK]i˧ t[UNK]i˧dzi˩ mv[UNK]˩˥ dʑo˩ t[UNK]i˩˥ le˧ɖæ˩zo˩ vz[UNK]no˧
tɕʰɤ˧ɲi˧ne˧ʝi˥|ʐo˩˥|le˧po˧˥|hõ˧|pi˧dʑo˩|zo˧bæ˩|ɖɯ˧v̩˧ɳɯ˧|mɤ˧ɲi˧|pi˧tsɯ˩mv̩˩|ɑ˩ʁo˧|,tɕ[UNK]ɤ˧ɲi˧ne˧ʝi˩ ʐo˩˥ le˧po˧˥ ho[UNK]˧ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v[UNK]˧ɳɯ˧ mɤ˧ɲi˧pi˧tsɯ˩ mv[UNK]˩ ɑ˩ʁo˧
sɑ˧|mv̩˧di˩dʑo˩ho˩ze˩pi˩|tʰi˩˥|sɑ˧pʰo˩|mmm…wo˩pʰo˩˥|,sɑ˧ mv[UNK]˧di˩dʑo˩ho˩ze˩ pi˧ t[UNK]i˩˥ sɑ˧p[UNK]o˩ mm[UNK]ʁwo˩p[UNK]o˧˥
tʰi˩˥|ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˩|ʈʰææ̃˧|dʑo˩tʰi˩˥|mmm…zo˩no˥|mmm…hĩ˧|no˧ɻ̍˩|qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥|kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|ʈʂʰɯ˧v̩˧dʑo˩|wɤ˩˥|ki˧kv̩˥mæ˩|,t[UNK]i˩˥ ə˧si˧le˥mo˩hi[UNK]˩ t[UNK]v[UNK]˧v[UNK]˧ ʈ[UNK]ɯ˧ɻæ˩dʑo˩ t[UNK]i˩˥ mm[UNK]zo˩no˥ hi[UNK]˧no˧ɻ[UNK]˩ q[UNK]ɑ˧ʈʂ[UNK]æ˧gv[UNK]˧hi[UNK]˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧v[UNK]˧dʑo˩ wɤ˩˥ ki˧kv[UNK]˥mæ˩
ʁwɤ˧qo˧|ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩|zo˩no˥|əəə…ʐv̩˧tsʰi˩ʑi˩|le˧ʈʂv̩˩se˩dʑo˩|wɤ˩˥|ɑ˩pʰo˩˥|gæ˧ɻæ˩|əəə…lɑ˧ŋwɤ˧|qʰæ˧tɕʰi˧|tʰv̩˧ə˧zɯ˩|qʰwɤ˩ɖɯ˩dʑo˩˥|pi˧|,ʁwɤ˧qo˧ ʐv[UNK]˧ts[UNK]i˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əə[UNK] ʐv[UNK]˧ts[UNK]i˩ʑi˩ le˧ʈʂv[UNK]˩se˩dʑo˩ wɤ˩˥ ɑ˩p[UNK]o˩˥ gæ˧ɻæ˩ lɑ˧ŋwɤ˧ q[UNK]æ˧tɕ[UNK]i˧ t[UNK]v[UNK]˧ ə˧zɯ˩ q[UNK]wɤ˩ɖɯ˩dʑo˩˥ pi˧
wɤ˩˥|le˧lɑ˧˥|wɤ˩˥|ɑ˩ʁo˧|tʰi˧tɕɯ˥|wɤ˩˥|ʝi˧lv̩˧˥|ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩|,wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ t[UNK]i˧tɕɯ˥ wɤ˩˥ ʝi˩lv[UNK]˧ ʈʂ[UNK]ɯ˧lɑ˩ɲi˩wɤ˩
