ɑ;a
bɑ;bba
pɑ;ba
pʰɑ;pa
mɑ;ma
dɑ;dda
tɑ;da
tʰɑ;ta
dzɑ;zza
tsɑ;za
tsʰɑ;ca
zɑ;ssa
sɑ;sa
nɑ;na
lɑ;la
ɬɑ;lha
qɑ;gha
qʰɑ;kha
ʁɑ;hra
ɖʐɑ;zzha
ʈʂɑ;zha
ʈʂʰɑ;cha
fɑ;fa
hɑ;ha
hɑ̃;han
æ;ae
bæ;bbae
pæ;bae
pʰæ;pae
mæ;mae
dæ;ddae
ɖæ;ddae
tæ;dae
ʈæ;dae
tʰæ;tae
ʈʰæ;tae
dzæ;zzae
tsæ;zae
tsʰæ;cae
zæ;ssae
sæ;sae
næ;nae
ɳæ;nae
læ;lae
ɬæ;lhae
ɻæ;lae  /  'ae
dʑæ;jjae
tɕæ;jae
tɕʰæ;qae
njæ;nya
gæ;ggae
kæ;gae
kʰæ;kae
ŋæ;ngae
qæ;ghae
qʰæ;khae
ʁæ;hrae
wæ;wae
ʐæ;rae
ʂæ;shae
ɖʐæ;zzhae
ʈʂæ;zhae
ʈʂʰæ;chae
fæ;fae
hæ;hae
æ̃;aen
hæ̃;haen
ə;e
ɤ;e
bɤ;bbe
pɤ;be
pʰɤ;pe
mɤ;me
dɤ;dde
ɖɤ;dde
tɤ;de
ʈɤ;de
tʰɤ;te
ʈʰɤ;te
dzɤ;zze
tsɤ;ze
tsʰɤ;ce
zɤ;sse
sɤ;se
lɤ;le
dʑɤ;jja
tɕɤ;ja
tɕʰɤ;qe
ɕjɤ;xe
jɤ;ye
gɤ;gge
kɤ;ge
kʰɤ;ke
ŋɤ;nge
ʐɤ;re
ʂɤ;she
ɖʐɤ;zzhe
ʈʂɤ;zhe
ʈʂʰɤ;che
fɤ;fe
hɤ;he
ɖɯ;ddee
ʈɯ;dee
ʈʰɯ;tee
dzɯ;zzi
tsɯ;zi
tsʰɯ;ci
zɯ;ssi
sɯ;si
ɳɯ;nee
ɭɯ;lee
dʑɯ;jji
tɕɯ;ji
tɕʰɯ;qi
ʑɯ;xxi
ɕɯ;xi
gɯ;ggee
kɯ;gee
kʰɯ;kee
ɳɯ;nee
ɣɯ;hree
ʐɯ;ri
ʂɯ;shi
ɖʐɯ;zzhi
ʈʂɯ;zhi
ʈʂʰɯ;chi
hɯ;hee
be;bbei
pe;bei
pʰe;pei
dze;zzei
tse;zei
tsʰe;cei
ze;ssei
se;sei
le;le
ʐe;rei
ʂe;shei
ɖʐe;zzhei
ʈʂe;zhei
ʈʂʰe;chei
fe;fei
ɻ;er
ʐɻ;reu
ʂɻ;sheu
ɖʐɻ;zzheu
ʈʂɻ;zheu
ʈʂʰɻ;cheu
ɻ̃;eun
bi;bbi
pi;bi
pʰi;pi
mi;mi
di;ddi
ɖi;ddei
ti;di
ʈi;dei
tʰi;ti
ʈʰi;tei
dzi;zzee
tsi;zee
tsʰi;cee
zi;ssee
si;see
ni;ni
ne;ni
ɲi;ni
li;li
ɬi;lhi
dʑi;jjie
tɕi;jie
tɕʰi;qie
ɕi;xi
ʑi;xxi
ʝi;yi
gi;ggi
ki;gi
kʰi;ki
hi;xie
ĩ;in
hĩ;hin
o;o
bo;bbo
po;bo
pʰo;po
mo;mo
do;ddo
ɖo;ddeo
to;do
tʰo;to
dzo;zzo
tso;zo
tsʰo;co
zo;sso
so;so
no;no
lo;lo
ɬo;lho
dʑo;jjo
tɕo;jo
tɕʰo;qo
go;ggo
ko;go
kʰo;ko
qo;gho
qʰo;kho
ʁo;wo
ʐo;ro
ʂo;sho
ɖʐo;zzho
ʈʂo;zho
ʈʂʰo;cho
ho;ho
õ;on
hõ;hon
hu;hu
v̩;vu
bv̩;bbu
pv̩;bu
pʰv̩;pu
mv̩;mu
dv̩;ddu
ɖv̩;ddeu
tv̩;du
ʈv̩;deu
tʰv̩;tu
ʈʰv̩;teu
tsʰv̩;cu
nv̩;nu
ɳv̩;neu
lv̩;lu
ɬv̩;lhu
gv̩;ggu
kv̩;gu
kʰv̩;ku
ŋv̩;ngu
qv̩;gheu
qʰv̩;kheu
ʁv̩;weu
ʐv̩;ru
ʂv̩;shu
ɖʐv̩;zzhu
ʈʂv̩;zhu
ʈʂʰv̩;chu
fv̩;fu
hṽ̩;hun
wɤ;ua
ɖwɤ;ddua
ʈwɤ;dua
ʈʰwɤ;tua
lwɤ;lua
gwɤ;ggua
kwɤ;gua
kʰwɤ;kua
ŋwɤ;ngua
qwɤ;ghua
qʰwɤ;khua
ʁwɤ;wua
ʐwɤ;rua
ʂwɤ;shua
ɖʐwɤ;zzhua
ʈʂwɤ;zhua
ʈʂʰwɤ;chua
hwɤ;hua
hwɤ̃;huan
ɖwæ;dduae
ʈwæ;duae
ʈʰwæ;tuae
lwæ;luae
ɻwæ;luae
gwæ;gguae
kwæ;guae
kʰwæ;kuae
ŋwæ;ngua
qwæ;ghuae
qʰwæ;khuae
ʁwæ;wae
ʐwæ;ruae
ʂwæ;shuae
ɖʐwæ;zzhuae
ʈʂwæ;zhuae
ʈʂʰwæ;chuae
hwæ;huae
w̃æ;uaen
hw̃æ;huaen
wo;uo
ɕjæ;xae
jɤ;ye
pjɤ;bia
djɤ;ddia
tjɤ;dia
ɕjɤ;xe
njɤ;nya
ljɤ;lia
je;ye
mje;mian
dje;dia
jo;yo
ɕjo;xo
njo;nyo
 |;
-;
◊;
↑;
