form	ex	zh	en	fr	start	end	length	forme_non_canonique
dʑɯ˩pʰæ˩					00:00:02,716	00:00:03,506	00:00:00,789	False
dʑɯ˩pʰæ˩	dʑɯ˩pʰæ˩ ʈwæ˥-ze˩	 水冻成冰了。	 ice has formed 	 l’eau a gelé, de la glace s’est formée	00:00:04,092	00:00:05,073	00:00:00,981	False
dʑɯ˩pʰæ˩	dʑɯ˩pʰæ˩ ʈwæ˥-ze˩	 水冻成冰了。	 ice has formed 	 l’eau a gelé, de la glace s’est formée	00:00:07,755	00:00:09,009	00:00:01,253	False
dʑɯ˩pʰæ˩	dʑɯ˩pʰæ˩ ʈwæ˥-ze˩	 水冻成冰了。	 ice has formed 	 l’eau a gelé, de la glace s’est formée	00:00:11,832	00:00:12,562	00:00:00,729	True
dʑɯ˩pʰæ˩	dʑɯ˩pʰæ˩˥ | tʰi˧-ʈwæ˩-dʑo˩	（水）正在冻成冰。	Ice is forming. / The water is freezing.	  l'eau est en train de geler, de la glace est en train de se former	00:00:13,699	00:00:14,512	00:00:00,812	True
mv̩˥2					00:00:18,134	00:00:19,086	00:00:02,414	False
mv̩˥2					00:00:19,086	00:00:20,549	00:00:02,414	False
mv̩˥2	mv̩˧ qæ˩-ze˩	火烧着了／着火了	the fire has started, the fire is blazing; a fire has caught	le feu est parti, ça brûle, ça flambe; un incendie est parti	00:00:22,709	00:00:23,568	00:00:00,859	False
mv̩˥2	mv̩˧ | le˧-qæ˧-ze˥	着火了	a fire has caught	il y a un incendie	00:00:26,012	00:00:26,894	00:00:00,882	False
mv̩˥2	mv̩˧ qæ˩	火烧着	the fire burns	le feu brûle	00:00:27,956	00:00:28,514	00:00:00,557	False
mv̩˥2	mv̩˧ qæ˥-ɻ˩̩ kʰɯ˩ ≈ mv̩˧ qæ˥-ɭɯ˩ kʰɯ˩	（有人）放火	to start a fire (as an act of destruction/war), to commit arson	lancer un incendie, déclencher un incendie, mettre le feu (acte criminel	00:00:29,718	00:00:30,365	00:00:00,647	True
mv̩˥2	mv̩˧ qæ˥-ɻ˩̩ kʰɯ˩ ≈ mv̩˧ qæ˥-ɭɯ˩ kʰɯ˩	（有人）放火	to start a fire (as an act of destruction/war), to commit arson	lancer un incendie, déclencher un incendie, mettre le feu (acte criminel	00:00:32,303	00:00:33,134	00:00:00,831	True
mv̩˧ɕi˥1					00:00:34,770	00:00:35,262	00:00:00,491	True
mv̩˧ɕi˥1					00:00:35,337	00:00:35,718	00:00:00,380	False
mv̩˧ɕi˥1					00:00:36,391	00:00:37,128	00:00:00,737	False
mv̩˧kʰv̩˧˥					00:00:41,003	00:00:41,556	00:00:00,552	True
mv̩˧kʰv̩˧˥					00:00:42,306	00:00:43,258	00:00:00,952	False
mv̩˧kʰv̩˧˥	mv̩˧kʰv̩˧ lv̩˥	烟很多	there is a lot of smoke	ça enfume tout le monde	00:00:45,168	00:00:45,696	00:00:00,528	True
mv̩˧kʰv̩˧˥	mv̩˧kʰv̩˧ lv̩˥	烟很多	there is a lot of smoke	ça enfume tout le monde	00:00:46,788	00:00:47,693	00:00:00,905	False
so˧˥	so˧˥ | ɖɯ˧-kʰɯ˩	一口气	a breath	un souffle	00:00:51,149	00:00:51,718	00:00:00,568	True
so˧˥	so˧˥ | ɖɯ˧-kʰɯ˩	一口气	a breath	un souffle	00:00:52,198	00:00:52,941	00:00:00,743	False
so˧˥	so˧ tʰv̩˥-ze˩	热气冒出来了	Vapour is coming out.	il y a de la vapeur qui sort, ça fait de la vapeur	00:00:55,797	00:00:56,174	00:00:02,763	False
so˧˥	so˧ tʰv̩˥-ze˩	热气冒出来了	Vapour is coming out.	il y a de la vapeur qui sort, ça fait de la vapeur	00:00:56,174	00:00:58,560	00:00:02,763	False
ɬi˧di˩-di˩mi˩					00:01:00,418	00:01:01,254	00:00:00,835	False
ɬi˧di˩-di˩mi˩					00:01:02,113	00:01:02,926	00:00:00,812	False
di˧mi˧					00:01:07,357	00:01:07,739	00:00:00,381	True
ɬi˧di˩-di˩mi˩					00:01:08,243	00:01:09,358	00:00:01,114	False
di˩˥					00:01:11,701	00:01:11,967	00:00:00,265	True
di˩˥					00:01:12,272	00:01:12,777	00:00:00,505	False
qo˩qɑ˩					00:01:16,637	00:01:17,448	00:00:02,066	False
qo˩qɑ˩					00:01:17,448	00:01:18,704	00:00:02,066	False
ʁwɤ˧1	ʁwɤ˧ | ɖɯ˧-ɭɯ˧	一座山	A mountain.	Une montagne.	00:01:23,098	00:01:23,783	00:00:00,684	True
