Liste de régions : crdo-NRU_F4_DEM_CL3.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
L2 dv a this                00:00:06.809  00:00:07.616  00:00:00.807
L2 dv a this                00:00:08.290  00:00:09.079  00:00:00.789
L2 dv a this                00:00:31.033  00:00:31.922  00:00:00.888
L2 dv a this                00:00:33.135  00:00:34.104  00:00:00.969
L2 dv b this                00:00:48.692  00:00:49.865  00:00:01.173
L2 dzi a that               00:01:36.078  00:01:36.903  00:00:00.824
L2 dzi a this               00:01:07.593  00:01:08.627  00:00:01.033
L2 dzi a this               00:01:10.949  00:01:11.889  00:00:00.940
L2 dzi a this               00:01:21.322  00:01:22.024  00:00:00.702
L2 dzi a this               00:01:22.599  00:01:23.336  00:00:00.737
L2 dzi a this               00:01:34.703  00:01:35.486  00:00:00.784
L2 dzi b this               00:00:55.989  00:00:56.947  00:00:00.958
L2 dzi b this               00:01:00.291  00:01:01.254  00:00:00.964
L2 jo a this                00:01:46.818  00:01:47.619  00:00:00.801
L2 jo a this                00:01:48.489  00:01:49.325  00:00:00.836
L2 jo a this                00:01:54.329  00:01:55.154  00:00:00.824
L2 li a that                00:03:14.061  00:03:14.798  00:00:00.737
L2 li a that                00:03:18.763  00:03:19.483  00:00:00.720
L2 li a that                00:03:36.021  00:03:36.718  00:00:00.697
L2 li a that                00:03:38.593  00:03:39.353  00:00:00.760
L2 li a that                00:03:41.983  00:03:42.621  00:00:00.639
L2 li a this                00:03:20.202  00:03:20.975  00:00:00.772
L2 li a this                00:03:40.584  00:03:41.408  00:00:00.824
L2 lo a this                00:04:54.812  00:04:55.462  00:00:00.650
L2 mi a that                00:04:22.763  00:04:23.349  00:00:00.586
L2 mi a that                00:04:27.645  00:04:28.278  00:00:00.633
L2 phv a this               00:04:49.692  00:04:50.191  00:00:00.499
L2 phv b this               00:04:44.830  00:04:45.710  00:00:00.879
L2 pi(u) a this             00:05:03.531  00:05:04.286  00:00:00.755
L2 ro a this                00:03:45.759  00:03:46.199  00:00:00.440
L2 tchi a this              00:05:09.487  00:05:10.381  00:00:00.894
L2 thv a this               00:05:21.515  00:05:22.305  00:00:00.789
L2 tshe a this              00:05:34.994  00:05:35.900  00:00:00.906
L2 tshe a this              00:06:02.266  00:06:02.858  00:00:00.592
L2 tshe a this              00:06:06.028  00:06:06.817  00:00:00.789
L2 tv a that                00:06:30.786  00:06:31.430  00:00:00.644
L2 tv a this                00:05:41.299  00:05:42.169  00:00:00.871
L2 tv a this                00:06:16.517  00:06:17.255  00:00:00.737
L2 tv a this                00:06:22.839  00:06:23.530  00:00:00.691
L2 tv a this                00:06:27.942  00:06:28.592  00:00:00.650
L2 tv b that                00:06:33.259  00:06:34.089  00:00:00.830
L2 wi(u) a this             00:06:57.088  00:06:57.860  00:00:00.772
L2 wi(u) a this             00:07:09.912  00:07:10.550  00:00:00.639
L2 wi(u) b this             00:06:52.619  00:06:53.646  00:00:01.027
L2 wi(u) b this             00:07:07.265  00:07:08.170  00:00:00.906
L2 wo a this                00:07:38.397  00:07:39.082  00:00:00.685
L2 wo a this                00:07:41.978  00:07:42.658  00:00:00.679
L2 wo b this                00:07:27.350  00:07:28.186  00:00:00.836
L2 wo b this                00:07:30.444  00:07:31.344  00:00:00.900
L2 wo b this                00:07:35.599  00:07:36.510  00:00:00.911
L3 bi b this                00:07:51.562  00:07:52.433  00:00:00.871
L3 bi b this                00:07:53.983  00:07:54.860  00:00:00.877
L3 di a this                00:08:20.489  00:08:21.185  00:00:00.697
L3 di b this                00:08:06.063  00:08:06.899  00:00:00.836
L3 di b this                00:08:09.012  00:08:09.831  00:00:00.819
L3 di b this                00:08:11.003  00:08:11.810  00:00:00.807
L3 di b this                00:08:14.248  00:08:15.154  00:00:00.906
L3 di b this                00:08:18.608  00:08:19.421  00:00:00.813
L3 dzuu a this              00:08:44.550  00:08:45.172  00:00:00.621
L3 dzuu a this              00:08:46.576  00:08:47.319  00:00:00.743
L3 dzuu a this              00:08:55.679  00:08:56.369  00:00:00.691
L3 dzuu a this              00:08:58.064  00:08:58.784  00:00:00.720
L3 dzuu b this              00:08:27.553  00:08:28.465  00:00:00.911
L3 dzuu b this              00:08:30.949  00:08:31.797  00:00:00.848
L3 dzuu b this              00:08:41.549  00:08:42.420  00:00:00.871
L3 qa a that                00:09:05.901  00:09:06.487  00:00:00.586
L3 qa b that                00:09:04.636  00:09:05.355  00:00:00.720
L3 tso a that               00:09:17.476  00:09:18.144  00:00:00.668
L3 tso a that               00:09:20.832  00:09:21.505  00:00:00.673
L3 tso b that               00:09:22.074  00:09:22.910  00:00:00.836
L3 zi(u) a this             00:09:40.464  00:09:41.213  00:00:00.749
L3 zi(u) a this             00:09:51.987  00:09:52.655  00:00:00.668
L3 zi(u) b this             00:09:34.276  00:09:35.234  00:00:00.958
L3 zi(u) b this             00:09:57.188  00:09:58.209  00:00:01.021
xxL2 dv c this              00:00:13.241  00:00:14.257  00:00:01.016
xxL2 dv c this              00:00:17.055  00:00:18.036  00:00:00.981
xxL2 dv c this              00:00:23.243  00:00:24.387  00:00:01.144
xxL2 mi c that              00:04:23.558  00:04:24.260  00:00:00.702
