Liste de régions : Tone_Peoples_1_F4_2006.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
m1+d3_s_couteau na_254+510 "couteau"  00:29:34,599  00:29:38,302  00:00:03,703
m1+d3_s_couteau na_254+510 "couteau"  00:29:43,492  00:29:44,908  00:00:01,416
m1+d4_s_étalon na_254+1859 "étalon"  00:29:28,341  00:29:32,521  00:00:04,179
m1+d4_s_étalon na_254+1859 "étalon"  00:29:44,908  00:29:46,557  00:00:01,648
m4a+d1_a_sa couverture      00:00:58,258  00:00:59,210  00:00:00,952
m4a+d1_a_sa couverture      00:08:04,134  00:08:05,063  00:00:00,928
m4a+d2b_a_sa bande molletière  00:07:28,131  00:07:31,005  00:00:02,873
m4a+d2b_a_sa bande molletière  00:07:33,925  00:07:35,028  00:00:01,102
m4a+d2b_a_sa bande molletière  00:08:05,330  00:08:06,317  00:00:00,986
m4a+d2b_a_sa bande molletière_soulignant la séquence des tons M du composé: MMMR  00:07:45,442  00:07:46,522  00:00:01,079
m4a+d2b_a_son couteau_sans remontée finale  00:09:41,095  00:09:44,293  00:00:03,198
m4a+d2b_a_son couteau_sans remontée finale  00:09:46,832  00:09:47,649  00:00:00,817
m4a+d2b_a_son couteau_sans remontée finale  00:09:50,667  00:09:51,526  00:00:00,859
m4a+d3_a_son vêtement_sans remontée finale  00:03:52,803  00:03:55,623  00:00:02,819
m4a+d3_a_son vêtement_sans remontée finale  00:03:56,794  00:03:57,458  00:00:00,664
m4a+d4_a_son ambre          00:02:25,960  00:02:29,269  00:00:03,308
m4a+d5a_a_son anneau        00:05:20,760  00:05:23,430  00:00:02,670
m4a+d5a_a_son anneau        00:07:51,282  00:07:52,234  00:00:00,952
m4a+m4a_a_sang humain       00:17:01,766  00:17:02,973  00:00:01,207
d1+m1_s_bol bai_détachant chaque syllabe  00:16:48,368  00:16:52,350  00:00:03,982
d1+m2_s_champ bai           00:16:23,105  00:16:24,150  00:00:01,044
d1+m4a_s_sang bai)          00:17:23,198  00:17:24,336  00:00:01,137
d1+d1_s_couverture bai)     00:00:37,871  00:00:39,775  00:00:01,904
d1+d2a_s_feutre bai          00:12:27,797  00:12:29,132  00:00:01,335
d1+d2a_s_feutre bai          00:12:31,698  00:12:38,420  00:00:06,722
d1+d2b_s_bande molletière bai  00:06:28,886  00:06:33,832  00:00:04,945
d1+d2b_s_bande molletière bai  00:06:59,536  00:07:00,616  00:00:01,079
d1+d2b_s_bande molletière bai)  00:06:42,130  00:06:43,445  00:00:01,314
d1+d2b_s_bande molletière bai)  00:06:47,015  00:06:47,944  00:00:00,928
