Liste de régions : crdo-NRU_F4_DEM_CL2.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
L2 bo a that                00:00:05.259  00:00:06.380  00:00:01.120
L2 bo a that                00:00:08.255  00:00:09.218  00:00:00.964
L2 bo a that                00:00:15.853  00:00:16.713  00:00:00.859
L2 bo a that                00:00:20.021  00:00:21.043  00:00:01.022
L2 bo a that                00:00:22.523  00:00:23.667  00:00:01.144
L2 bo a this                00:18:57.755  00:18:58.756  00:00:01.001
L2 bo a this                00:19:01.124  00:19:02.082  00:00:00.958
L2 bo b that                00:00:14.840  00:00:15.546  00:00:00.706
L2 bo b this                00:18:52.826  00:18:53.932  00:00:01.106
L2 bo b this                00:19:14.029  00:19:14.952  00:00:00.923
L2 bo b this                00:19:16.598  00:19:17.599  00:00:01.001
L2 bo b this                00:19:11.747  00:19:12.636  00:00:00.888
L2 dv a that                00:00:50.910  00:00:51.786  00:00:00.877
L2 dv b this                00:00:34.876  00:00:36.444  00:00:01.567
L2 dv b this                00:00:42.754  00:00:44.170  00:00:01.416
L2 dv b this                00:19:31.705  00:19:32.898  00:00:01.193
L2 dv b this                00:19:38.549  00:19:39.664  00:00:01.115
L2 dzi a that               00:01:10.548  00:01:11.488  00:00:00.940
L2 dzi b that               00:01:00.796  00:01:01.736  00:00:00.940
L2 dzi b that               00:01:09.143  00:01:10.235  00:00:01.091
L2 dzi b that               00:01:12.359  00:01:13.625  00:00:01.265
L2 dzi b that               00:01:04.517  00:01:05.416  00:00:00.900
L2 jo a that                00:01:36.217  00:01:36.908  00:00:00.692
L2 jo b that                00:01:32.909  00:01:34.070  00:00:01.161
L2 khuu b that              00:01:44.464  00:01:45.503  00:00:01.039
L2 khuu b this              00:01:49.926  00:01:51.105  00:00:01.178
L2 khuu b this              00:01:57.171  00:01:57.995  00:00:00.824
L2 li a that                00:02:12.508  00:02:13.599  00:00:01.091
L2 lo a that                00:02:35.786  00:02:36.755  00:00:00.969
L2 lo b this                00:02:24.501  00:02:25.760  00:00:01.260
L2 lo b this                00:02:27.281  00:02:28.373  00:00:01.091
L2 mi a that                00:03:04.393  00:03:05.020  00:00:00.627
L2 mi a that                00:03:07.559  00:03:08.201  00:00:00.641
L2 mi a that                00:03:10.319  00:03:11.225  00:00:00.906
L2 mi a that                00:06:50.625  00:06:51.437  00:00:00.813
L2 mi a that                00:18:12.441  00:18:13.059  00:00:00.618
L2 mi a this                00:06:42.596  00:06:43.235  00:00:00.639
L2 mi a this                00:06:49.765  00:06:50.625  00:00:00.859
L2 mi b that                00:02:44.081  00:02:45.213  00:00:01.132
L2 mi b that                00:02:47.152  00:02:48.377  00:00:01.225
L2 mi b that                00:02:53.305  00:02:54.263  00:00:00.958
L2 mi b that                00:18:17.012  00:18:17.752  00:00:00.740
L2 phv a this               00:03:28.530  00:03:29.580  00:00:01.051
L2 phv b this               00:03:20.699  00:03:21.819  00:00:01.120
L2 phv b this               00:03:23.265  00:03:24.164  00:00:00.900
L2 pi(u) a that             00:03:35.362  00:03:36.355  00:00:00.993
L2 pi(u) a that             00:03:39.199  00:03:40.018  00:00:00.819
L2 pi(u) a that             00:03:41.771  00:03:42.479  00:00:00.708
L2 po a that                00:18:25.641  00:18:26.590  00:00:00.949
L2 po a that                00:18:30.866  00:18:31.763  00:00:00.897
L2 po a this                00:03:56.260  00:03:57.113  00:00:00.853
L2 po a this                00:03:59.418  00:04:00.347  00:00:00.929
L2 po a this                00:04:03.313  00:04:04.277  00:00:00.964
L2 po a this                00:04:08.230  00:04:09.182  00:00:00.952
L2 po b this                00:03:53.433  00:03:54.391  00:00:00.958
L2 po b this                00:04:06.227  00:04:07.261  00:00:01.033
L2 po b this                00:18:27.287  00:18:28.436  00:00:01.149
L2 ro a that                00:18:33.156  00:18:34.140  00:00:00.984
L2 ro a this                00:04:29.900  00:04:30.835  00:00:00.935
L2 ro a this                00:18:44.206  00:18:44.963  00:00:00.758
L2 ro a this                00:18:46.713  00:18:47.497  00:00:00.784
L2 ro b that                00:04:20.339  00:04:21.280  00:00:00.940
L2 ro b that                00:04:23.033  00:04:24.107  00:00:01.074
L2 ro b that                00:18:36.038  00:18:36.987  00:00:00.949
L2 ro b that                00:18:37.240  00:18:38.346  00:00:01.106
L2 ro b that                00:18:41.219  00:18:42.212  00:00:00.993
L2 ro b this                00:18:39.739  00:18:40.932  00:00:01.193
L2 suu a that               00:04:50.426  00:04:51.123  00:00:00.697
L2 suu a that               00:04:52.394  00:04:52.998  00:00:00.604
L2 suu a that               00:04:56.337  00:04:56.975  00:00:00.638
L2 suu a that               00:05:25.808  00:05:26.417  00:00:00.610
L2 suu b that               00:04:44.442  00:04:45.597  00:00:01.155
L2 suu b that               00:04:47.599  00:04:48.702  00:00:01.103
L2 suu b that               00:07:28.402  00:07:29.178  00:00:00.776
L2 suu b that               00:16:38.023  00:16:39.015  00:00:00.993
L2 suu b that               00:16:40.426  00:16:41.662  00:00:01.236
L2 ta b that                00:07:40.304  00:07:41.227  00:00:00.923
L2 ta b this                00:16:57.658  00:16:58.781  00:00:01.123
L2 ta b this                00:16:53.391  00:16:54.610  00:00:01.219
L2 tci a that               00:07:59.164  00:08:00.128  00:00:00.964
L2 tci b that               00:07:54.497  00:07:55.675  00:00:01.178
L2 thv a this               00:11:43.431  00:11:44.319  00:00:00.888
L2 thv b this               00:11:38.381  00:11:39.400  00:00:01.019
L2 tshe a this              00:12:02.823  00:12:03.351  00:00:00.528
L2 tshe b this              00:11:49.732  00:11:50.864  00:00:01.132
L2 tv a this                00:12:21.837  00:12:22.943  00:00:01.106
L2 tv b this                00:12:19.529  00:12:20.653  00:00:01.123
L2 wi(u) a this             00:15:08.963  00:15:09.912  00:00:00.949
L2 wi(u) a this             00:15:11.322  00:15:12.298  00:00:00.975
L2 wi(u) b this             00:15:01.161  00:15:02.223  00:00:01.062
L2 wi(u) b this             00:15:03.346  00:15:04.522  00:00:01.176
L2 wo a this                00:15:43.398  00:15:44.237  00:00:00.838
L2 wo b this                00:15:29.181  00:15:30.366  00:00:01.184
L2 wo b this                00:15:31.280  00:15:32.455  00:00:01.176
L3 bi a that                00:16:09.985  00:16:10.881  00:00:00.897
L3 bi a that                00:16:20.077  00:16:20.730  00:00:00.653
L3 bi a that                00:16:26.538  00:16:27.278  00:00:00.740
L3 bi b that                00:16:08.104  00:16:09.035  00:00:00.932
L3 bi b that                00:16:17.133  00:16:18.413  00:00:01.280
L3 bi b that                00:16:29.298  00:16:30.142  00:00:00.845
L3 dzuu a this              00:17:15.212  00:17:16.083  00:00:00.871
L3 dzuu a this              00:17:17.067  00:17:18.199  00:00:01.132
L3 dzuu a this              00:17:21.935  00:17:22.971  00:00:01.036
L3 qa a this                00:17:29.731  00:17:30.706  00:00:00.975
L3 qa a this                00:17:31.986  00:17:32.874  00:00:00.888
L3 qa b this                00:17:27.301  00:17:28.694  00:00:01.393
L3 tso a that               00:17:42.818  00:17:43.555  00:00:00.737
