Liste de régions : NumPlusCL_H1_Chunks_speakerF4_3oct2011_FullSet_AUDIOPLUSEGG.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
1                           00:00:01,017  00:00:01,700  00:00:00,683
2                           00:00:02,751  00:00:03,889  00:00:01,137
3                           00:00:04,504  00:00:05,932  00:00:01,428
4                           00:00:06,873  00:00:08,034  00:00:01,160
5                           00:00:09,264  00:00:10,321  00:00:01,056
6                           00:00:11,412  00:00:12,759  00:00:01,346
7                           00:00:13,421  00:00:14,605  00:00:01,184
8                           00:00:15,267  00:00:16,358  00:00:01,091
9                           00:00:17,136  00:00:18,169  00:00:01,033
10                          00:00:19,179  00:00:20,166  00:00:00,986
11                          00:00:21,025  00:00:22,314  00:00:01,288
12                          00:00:23,417  00:00:24,752  00:00:01,335
13                          00:00:25,820  00:00:27,132  00:00:01,311
14                          00:00:27,933  00:00:29,233  00:00:01,300
15                          00:00:29,965  00:00:31,463  00:00:01,497
16                          00:00:32,275  00:00:33,413  00:00:01,137
17                          00:00:34,028  00:00:35,538  00:00:01,509
18                          00:00:36,199  00:00:37,453  00:00:01,253
19                          00:00:38,103  00:00:39,346  00:00:01,242
20                          00:00:39,880  00:00:41,168  00:00:01,288
21                          00:00:41,807  00:00:43,374  00:00:01,567
22                          00:00:44,651  00:00:45,975  00:00:01,323
23                          00:00:46,567  00:00:48,193  00:00:01,625
24                          00:00:48,819  00:00:50,178  00:00:01,358
25                          00:00:51,072  00:00:52,569  00:00:01,497
26                          00:00:53,185  00:00:54,822  00:00:01,637
26                          00:00:59,315  00:01:00,795  00:00:01,480
27                          00:00:55,292  00:00:57,190  00:00:01,898
27                          00:01:01,648  00:01:03,059  00:00:01,410
28                          00:01:03,738  00:01:05,201  00:00:01,462
29                          00:01:05,567  00:01:07,378  00:00:01,811
30                          00:01:07,831  00:01:09,067  00:00:01,236
31                          00:01:09,694  00:01:11,262  00:00:01,567
31                          00:01:16,364  00:01:17,722  00:00:01,358
31                          00:01:36,834  00:01:38,050  00:00:01,216
31                          00:02:13,328  00:02:14,861  00:00:01,532
31                          00:02:28,828  00:02:30,395  00:00:01,567
32                          00:01:12,051  00:01:13,398  00:00:01,346
32                          00:01:29,071  00:01:30,348  00:00:01,277
32                          00:02:07,059  00:02:08,491  00:00:01,432
32                          00:02:15,360  00:02:17,067  00:00:01,706
32                          00:02:30,395  00:02:32,137  00:00:01,741
32_schéma MMMM, erroné      00:01:18,236  00:01:19,769  00:00:01,532
32_schéma MMMM, erroné      00:01:21,478  00:01:22,709  00:00:01,230
32_schéma MMMM, erroné      00:01:39,230  00:01:40,937  00:00:01,706
32_schéma MMMM, erroné      00:01:48,843  00:01:50,184  00:00:01,340
33                          00:01:31,509  00:01:33,228  00:00:01,718
33                          00:02:32,694  00:02:34,459  00:00:01,764
34                          00:02:41,192  00:02:42,504  00:00:01,311
34_schéma MMMH, erroné      00:02:34,644  00:02:36,490  00:00:01,845
35                          00:02:36,490  00:02:38,406  00:00:01,915
35                          00:02:43,538  00:02:44,815  00:00:01,277
36                          00:02:45,732  00:02:47,299  00:00:01,567
37                          00:02:52,919  00:02:54,660  00:00:01,741
38                          00:02:55,394  00:02:56,857  00:00:01,462
39                          00:03:03,379  00:03:04,668  00:00:01,288
39                          00:03:05,852  00:03:07,837  00:00:01,985
39                          00:03:09,229  00:03:10,635  00:00:01,406
39_MMLL, erroné             00:02:57,658  00:02:59,295  00:00:01,637
40                          00:03:12,029  00:03:13,271  00:00:01,242
41_MLMH                     00:03:14,269  00:03:15,825  00:00:01,555
42_MLMH                     00:03:16,823  00:03:18,449  00:00:01,625
43                          00:03:19,203  00:03:20,806  00:00:01,602
44_MLLL                     00:03:59,513  00:04:02,346  00:00:02,832
44_MLLL                     00:04:03,774  00:04:08,685  00:00:04,911
44_MLML_erroné              00:03:57,656  00:03:59,513  00:00:01,857
44_MLMM                     00:03:21,700  00:03:23,104  00:00:01,404
45                          00:04:10,078  00:04:11,681  00:00:01,602
45_MLMM                     00:03:23,929  00:03:25,426  00:00:01,497
46                          00:03:26,251  00:03:27,772  00:00:01,520
47                          00:03:28,329  00:03:29,954  00:00:01,625
48                          00:03:30,558  00:03:32,346  00:00:01,787
49_MLLL                     00:03:32,880  00:03:34,517  00:00:01,637
