Liste de régions : NumPlusCL_H2_Day_speakerF4_3oct2011_FullSet_AUDIOPLUSEGG.wav

Nom                                Début           Fin      Longueur
-------------------------- ------------- ------------- -------------
1                           00:00:03,395  00:00:04,423  00:00:01,027
2                           00:00:07,662  00:00:09,421  00:00:01,758
3                           00:00:10,135  00:00:11,563  00:00:01,428
4                           00:00:12,190  00:00:13,810  00:00:01,619
5                           00:00:14,576  00:00:16,091  00:00:01,515
6                           00:00:16,666  00:00:18,146  00:00:01,480
7                           00:00:18,459  00:00:20,044  00:00:01,584
8                           00:00:20,497  00:00:22,064  00:00:01,567
9                           00:00:25,274  00:00:26,136  00:00:00,862
9                           00:00:26,923  00:00:28,125  00:00:01,201
9_réalisé LL, par erreur    00:00:22,569  00:00:23,841  00:00:01,271
10                          00:00:28,874  00:00:30,267  00:00:01,393
11                          00:00:31,364  00:00:32,757  00:00:01,393
12                          00:00:33,576  00:00:34,899  00:00:01,323
13                          00:00:35,578  00:00:37,041  00:00:01,462
14                          00:00:37,947  00:00:39,479  00:00:01,532
14                          00:00:43,171  00:00:45,023  00:00:01,851
14                          00:00:48,451  00:00:49,597  00:00:01,146
15                          00:00:45,023  00:00:47,055  00:00:02,031
15                          00:00:49,597  00:00:51,609  00:00:02,011
16                          00:00:51,609  00:00:53,725  00:00:02,115
17                          00:00:53,725  00:00:55,457  00:00:01,732
18                          00:01:03,273  00:01:04,187  00:00:00,914
18_réalisé LLH, par erreur  00:00:55,457  00:00:57,469  00:00:02,011
19                          00:00:57,469  00:00:59,686  00:00:02,217
19                          00:01:04,788  00:01:06,015  00:00:01,227
20                          00:00:59,686  00:01:01,370  00:00:01,683
21                          00:01:09,172  00:01:10,783  00:00:01,610
21                          00:01:39,609  00:01:40,906  00:00:01,297
22                          00:01:11,169  00:01:13,305  00:00:02,136
22                          00:01:18,135  00:01:19,667  00:00:01,532
23                          00:01:13,923  00:01:15,234  00:00:01,311
23                          00:01:46,300  00:01:48,355  00:00:02,054
24                          00:01:48,692  00:01:50,898  00:00:02,205
25                          00:01:51,780  00:01:53,661  00:00:01,880
26                          00:01:53,661  00:01:56,285  00:00:02,623
27                          00:01:56,285  00:01:59,373  00:00:03,088
28                          00:01:59,373  00:02:01,161  00:00:01,787
29                          00:02:01,672  00:02:03,692  00:00:02,020
30                          00:02:03,692  00:02:05,736  00:00:02,043
31                          00:02:06,316  00:02:08,208  00:00:01,892
32                          00:02:08,684  00:02:10,623  00:00:01,938
33                          00:02:11,099  00:02:13,201  00:00:02,101
34                          00:02:13,839  00:02:15,697  00:00:01,857
